hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw,,,
All households,2008,allhh,8,Communication,Communication,group,8,Communication,Communication,3.5,28.5,16.9,,,
All households,2008,allhh,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1.6,1,,,
All households,2008,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,1.6,1,,,
All households,2008,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.2,26,15.4,,,
All households,2008,allhh,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,8.4,68.3,40.5,,,
All households,2008,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.5,12.2,7.2,,,
All households,2008,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.2,1.6,1,,,
All households,2008,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.9,15.5,9.2,,,
All households,2008,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.3,18.7,11.1,,,
All households,2008,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.3,10.6,6.3,,,
All households,2008,allhh,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.5,4.1,2.4,,,
All households,2008,allhh,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.7,5.7,3.4,,,
All households,2008,allhh,10,Education,Education,group,10,Education,Education,1.2,9.8,5.8,,,
All households,2008,allhh,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.2,1.6,1,,,
All households,2008,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.4,3.3,1.9,,,
All households,2008,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.6,4.9,2.9,,,
All households,2008,allhh,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0,0,,,
All households,2008,allhh,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.7,78.9,46.8,,,
All households,2008,allhh,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.2,17.9,10.6,,,
All households,2008,allhh,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.4,3.3,1.9,,,
All households,2008,allhh,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.2,34.2,20.2,,,
All households,2008,allhh,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,4.1,2.4,,,
All households,2008,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.4,19.5,11.6,,,
All households,2008,allhh,13,Other expenditure,Interest,group,13,Other expenditure,Interest,7.7,62.6,37.1,,,
All households,2008,allhh,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,7.7,62.6,37.1,,,
All households,2008,allhh,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,9.4,76.6,45.4,,,
All households,2008,allhh,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,3.1,25.2,14.9,,,
All households,2008,allhh,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,4.5,36.9,21.9,,,
All households,2008,allhh,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.5,44.7,26.5,,,
Beneficiary,2008,benef,1,Food,Food,group,1,Food,Food,18.2,88.2,55.2,,,
Beneficiary,2008,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.5,12.1,7.6,,,
Beneficiary,2008,benef,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.9,18.9,11.8,,,
Beneficiary,2008,benef,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.2,39.7,24.9,,,
Beneficiary,2008,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.7,8.2,5.2,,,
Beneficiary,2008,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,1.9,9.2,5.8,,,
Beneficiary,2008,benef,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.7,32.5,20.3,,,
Beneficiary,2008,benef,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.5,12.1,7.6,,,
Beneficiary,2008,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.1,19.9,12.4,,,
Beneficiary,2008,benef,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,1.8,8.7,5.5,,,
Beneficiary,2008,benef,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,1.4,6.8,4.3,,,
Beneficiary,2008,benef,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.4,1.9,1.2,,,
Beneficiary,2008,benef,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,33.3,161.4,101.1,,,
Beneficiary,2008,benef,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,22.7,110,68.9,,,
Beneficiary,2008,benef,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.1,5.3,3.3,,,
Beneficiary,2008,benef,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.9,14.1,8.8,,,
Beneficiary,2008,benef,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,6.6,32,20,,,
Beneficiary,2008,benef,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,3.1,15,9.4,,,
Beneficiary,2008,benef,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.1,5.3,3.3,,,
Beneficiary,2008,benef,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.2,1,0.6,,,
Beneficiary,2008,benef,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.7,3.4,2.1,,,
Beneficiary,2008,benef,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1,0.6,,,
Beneficiary,2008,benef,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.2,1,0.6,,,
Beneficiary,2008,benef,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.7,3.4,2.1,,,
Beneficiary,2008,benef,6,Health,Health,group,6,Health,Health,2.7,13.1,8.2,,,
Beneficiary,2008,benef,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.7,3.4,2.1,,,
Beneficiary,2008,benef,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,1.8,8.7,5.5,,,
Beneficiary,2008,benef,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.2,1,0.6,,,
Beneficiary,2008,benef,7,Transport,Transport,group,7,Transport,Transport,10,48.5,30.4,,,
Beneficiary,2008,benef,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.1,5.3,3.3,,,
Beneficiary,2008,benef,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.1,39.3,24.6,,,
Beneficiary,2008,benef,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,0.8,3.9,2.4,,,
Beneficiary,2008,benef,8,Communication,Communication,group,8,Communication,Communication,3.5,17,10.6,,,
Beneficiary,2008,benef,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,0.5,0.3,,,
Beneficiary,2008,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.3,1.5,0.9,,,
Beneficiary,2008,benef,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.1,15,9.4,,,
Beneficiary,2008,benef,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,5.7,27.6,17.3,,,
Beneficiary,2008,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.4,6.8,4.3,,,
Beneficiary,2008,benef,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0,0,0,,,
Beneficiary,2008,benef,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.2,5.8,3.6,,,
Beneficiary,2008,benef,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.8,8.7,5.5,,,
Beneficiary,2008,benef,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1,4.9,3,,,
Beneficiary,2008,benef,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.2,1,0.6,,,
Beneficiary,2008,benef,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.5,0.3,,,
Beneficiary,2008,benef,10,Education,Education,group,10,Education,Education,1.3,6.3,4,,,
Beneficiary,2008,benef,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.1,0.5,0.3,,,
Beneficiary,2008,benef,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.5,2.4,1.5,,,
Beneficiary,2008,benef,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.6,2.9,1.8,,,
Beneficiary,2008,benef,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0.1,0.5,0.3,,,
Beneficiary,2008,benef,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,8.4,40.7,25.5,,,
Beneficiary,2008,benef,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.8,8.7,5.5,,,
Beneficiary,2008,benef,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.2,1,0.6,,,
Beneficiary,2008,benef,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.6,12.6,7.9,,,
Beneficiary,2008,benef,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.7,3.4,2.1,,,
Beneficiary,2008,benef,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.2,15.5,9.7,,,
Beneficiary,2008,benef,13,Other expenditure,Interest,group,13,Other expenditure,Interest,5.3,25.7,16.1,,,
Beneficiary,2008,benef,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,5.3,25.7,16.1,,,
Beneficiary,2008,benef,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,22.7,109.8,68.7,,,
Beneficiary,2008,benef,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,2.6,12.4,7.7,,,
Beneficiary,2008,benef,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,5.7,27.7,17.4,,,
Beneficiary,2008,benef,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.1,24.7,15.5,,,
Expenditure quintile 1 (low),2008,expq1,1,Food,Food,group,1,Food,Food,20.1,63.3,42.5,,,
Expenditure quintile 1 (low),2008,expq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,3.1,9.8,6.6,,,
Expenditure quintile 1 (low),2008,expq1,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,4.1,12.9,8.7,,,
Expenditure quintile 1 (low),2008,expq1,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,9.2,29,19.4,,,
Expenditure quintile 1 (low),2008,expq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.6,5,3.4,,,
Expenditure quintile 1 (low),2008,expq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,2.1,6.6,4.4,,,
Expenditure quintile 1 (low),2008,expq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,5.6,17.6,11.8,,,
Expenditure quintile 1 (low),2008,expq1,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.4,7.6,5.1,,,
Expenditure quintile 1 (low),2008,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3.2,10.1,6.8,,,
Expenditure quintile 1 (low),2008,expq1,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,2.1,6.6,4.4,,,
Expenditure quintile 1 (low),2008,expq1,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,1.4,4.4,3,,,
Expenditure quintile 1 (low),2008,expq1,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.6,1.9,1.3,,,
Expenditure quintile 1 (low),2008,expq1,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,29.1,91.6,61.5,,,
Expenditure quintile 1 (low),2008,expq1,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,13.9,43.8,29.4,,,
Expenditure quintile 1 (low),2008,expq1,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,0.9,2.8,1.9,,,
Expenditure quintile 1 (low),2008,expq1,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,5.8,18.3,12.3,,,
Expenditure quintile 1 (low),2008,expq1,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,8.5,26.8,18,,,
Expenditure quintile 1 (low),2008,expq1,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,3.3,10.4,7,,,
Expenditure quintile 1 (low),2008,expq1,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,0.9,2.8,1.9,,,
Expenditure quintile 1 (low),2008,expq1,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.3,0.9,0.6,,,
Expenditure quintile 1 (low),2008,expq1,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.8,2.5,1.7,,,
Expenditure quintile 1 (low),2008,expq1,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,0.6,0.4,,,
Expenditure quintile 1 (low),2008,expq1,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.4,1.3,0.8,,,
Expenditure quintile 1 (low),2008,expq1,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,2.8,1.9,,,
Expenditure quintile 1 (low),2008,expq1,6,Health,Health,group,6,Health,Health,3.6,11.3,7.6,,,
Expenditure quintile 1 (low),2008,expq1,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,3.2,2.1,,,
Expenditure quintile 1 (low),2008,expq1,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.5,7.9,5.3,,,
Expenditure quintile 1 (low),2008,expq1,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.1,0.3,0.2,,,
Expenditure quintile 1 (low),2008,expq1,7,Transport,Transport,group,7,Transport,Transport,11.3,35.6,23.9,,,
Expenditure quintile 1 (low),2008,expq1,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,0.4,1.3,0.8,,,
Expenditure quintile 1 (low),2008,expq1,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9.2,29,19.4,,,
Expenditure quintile 1 (low),2008,expq1,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.6,5,3.4,,,
Expenditure quintile 1 (low),2008,expq1,8,Communication,Communication,group,8,Communication,Communication,4.7,14.8,9.9,,,
Expenditure quintile 1 (low),2008,expq1,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,0.3,0.2,,,
Expenditure quintile 1 (low),2008,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,0.6,0.4,,,
Expenditure quintile 1 (low),2008,expq1,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,4.4,13.9,9.3,,,
Expenditure quintile 1 (low),2008,expq1,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,6.2,19.5,13.1,,,
Expenditure quintile 1 (low),2008,expq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,0.7,2.2,1.5,,,
Expenditure quintile 1 (low),2008,expq1,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.3,0.9,0.6,,,
Expenditure quintile 1 (low),2008,expq1,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.5,4.7,3.2,,,
Expenditure quintile 1 (low),2008,expq1,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.9,6,4,,,
Expenditure quintile 1 (low),2008,expq1,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.4,4.4,3,,,
Expenditure quintile 1 (low),2008,expq1,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.2,0.6,0.4,,,
Expenditure quintile 1 (low),2008,expq1,9.7,Package holidays,Package holidays,subgroup,9,Recreation and culture,Recreation and culture,0.2,0.6,0.4,,,
Expenditure quintile 1 (low),2008,expq1,10,Education,Education,group,10,Education,Education,0.4,1.3,0.8,,,
Expenditure quintile 1 (low),2008,expq1,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0,0,0,,,
Expenditure quintile 1 (low),2008,expq1,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.3,0.9,0.6,,,
Expenditure quintile 1 (low),2008,expq1,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.1,0.3,0.2,,,
Expenditure quintile 1 (low),2008,expq1,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0,0,,,
Expenditure quintile 1 (low),2008,expq1,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,10.8,34,22.8,,,
Expenditure quintile 1 (low),2008,expq1,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2,6.3,4.2,,,
Expenditure quintile 1 (low),2008,expq1,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.1,0.3,0.2,,,
Expenditure quintile 1 (low),2008,expq1,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.9,12.3,8.2,,,
Expenditure quintile 1 (low),2008,expq1,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,1.6,1.1,,,
Expenditure quintile 1 (low),2008,expq1,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.2,13.2,8.9,,,
Expenditure quintile 1 (low),2008,expq1,13,Other expenditure,Interest,group,13,Other expenditure,Interest,2.9,9.1,6.1,,,
Expenditure quintile 1 (low),2008,expq1,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,2.9,9.1,6.1,,,
Expenditure quintile 1 (low),2008,expq1,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,13.9,43.7,29.3,,,
Expenditure quintile 1 (low),2008,expq1,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,5.2,16.4,11,,,
Expenditure quintile 1 (low),2008,expq1,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,7.5,23.6,15.8,,,
Expenditure quintile 1 (low),2008,expq1,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.6,17.5,11.7,,,
Expenditure quintile 2,2008,expq2,1,Food,Food,group,1,Food,Food,19.1,106.5,66.4,,,
Expenditure quintile 2,2008,expq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,3,16.7,10.4,,,
Expenditure quintile 2,2008,expq2,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.3,18.4,11.5,,,
Expenditure quintile 2,2008,expq2,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.3,46.3,28.8,,,
Expenditure quintile 2,2008,expq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.9,10.6,6.6,,,
Expenditure quintile 2,2008,expq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,2.6,14.5,9,,,
Expenditure quintile 2,2008,expq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.1,34,21.2,,,
Expenditure quintile 2,2008,expq2,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3.5,19.5,12.2,,,
Expenditure quintile 2,2008,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.5,13.9,8.7,,,
Expenditure quintile 2,2008,expq2,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,2.8,15.6,9.7,,,
Expenditure quintile 2,2008,expq2,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2,11.2,7,,,
Expenditure quintile 2,2008,expq2,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.8,4.5,2.8,,,
Expenditure quintile 2,2008,expq2,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,23.4,130.5,81.3,,,
Expenditure quintile 2,2008,expq2,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,11.9,66.4,41.4,,,
Expenditure quintile 2,2008,expq2,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.4,7.8,4.9,,,
Expenditure quintile 2,2008,expq2,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,4,22.3,13.9,,,
Expenditure quintile 2,2008,expq2,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,6,33.5,20.9,,,
Expenditure quintile 2,2008,expq2,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,5,27.9,17.4,,,
Expenditure quintile 2,2008,expq2,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.7,9.5,5.9,,,
Expenditure quintile 2,2008,expq2,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.2,1.1,0.7,,,
Expenditure quintile 2,2008,expq2,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.5,8.4,5.2,,,
Expenditure quintile 2,2008,expq2,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.1,0.6,0.4,,,
Expenditure quintile 2,2008,expq2,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.4,2.2,1.4,,,
Expenditure quintile 2,2008,expq2,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,1,5.6,3.5,,,
